Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Duplicate),Outward issue link (Duplicate),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Epic Link),Custom field (Rank),Custom field (Root Cause Analysis),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
"OTE single test failure in fabric-test daily suite, inconsistent txcounts delivered from orderers",FAB-9719,29710,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,High,,scottz,scottz,scottz,26/Apr/18 4:11 AM,26/Apr/18 4:24 AM,26/Apr/18 6:49 AM,,,,,v1.2,,fabric-quality,,,,,,0,ci_failure,,,,,,,"Refer to failure: [https://jenkins.hyperledger.org/view/fabric-test/job/fabric-test-daily-x86_64/332/testReport/orderer_ote/]

QA team should take first look. It only happened on one test, but not any other similar tests; and this is the first and only failure of this type so far. We should monitor for more occurrances in the subsequent daily test runs. We may need to try reproduce separately and collect orderer logs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02ghx:,,,,,,,,scottz,,,,,,,,,,,,,,,,,,,,"26/Apr/18 4:24 AM;scottz;[https://gerrit.hyperledger.org/r/#/c/21035/]

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peer feature test fail CI smoke tests in fabric-test-verify job.,FAB-9709,29698,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,High,,nnao,sambhavdutt,sambhavdutt,25/Apr/18 8:11 PM,25/Apr/18 8:15 PM,26/Apr/18 6:49 AM,,,,,v1.2,,fabric-peer,,,,,,0,ci_failure,,,,,,,"The peer feature tests are failing in the recent CI smoke tests for fabric-test-verify job,


{code:java}
Failing step: Then a user receives a success response of 100 ... failed in 0.000s
Location: peer.feature:44
Assertion Failed: Expected response was 100; received 100
{code}


{code:java}
@scenario.begin

  @smoke
  Scenario Outline: FAB-1440, FAB-3861: Basic Chaincode Execution - kafka orderer type, using couchdb, with tls -- @1.7 
    Given I have a bootstrapped fabric network of type kafka using state-database couchdb with tls ... passed in 22.007s
    When a user sets up a channel ... passed in 39.076s
    And a user deploys chaincode ... passed in 37.542s
    When a user queries on the chaincode ... passed in 4.681s
    Then a user receives a success response of 100 ... failed in 0.000s
    When a user invokes on the chaincode ... skipped in 0.000s
    And I wait ""5"" seconds ... skipped in 0.000s
    And a user queries on the chaincode ... skipped in 0.000s
    Then a user receives a success response of 95 ... skipped in 0.000s
{code}


*Build Logs*
https://jenkins.hyperledger.org/job/fabric-test-verify-x86_64/1145/artifact/gopath/src/github.com/hyperledger/fabric-test/feature/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02gfh:,,,,,,,,sambhavdutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Search is not working in ReadTheDocs master/latest versions,FAB-9706,29692,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,High,,rameshthoomu,pandrejko,pandrejko,25/Apr/18 6:56 PM,25/Apr/18 9:01 PM,26/Apr/18 6:49 AM,,,,,,,fabric-docs,,,,,,0,,,,,,,,"Problem might have been introduced by FAB-9648

Ramesh is investigating.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02ge5:,,,,,,,,pandrejko,,,,,,,,,,,,,,,,,,,,25/Apr/18 6:59 PM;pandrejko;@thoomu@us.ibm.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peer feature test fail CI jobs in fabric-smoke tests.,FAB-9650,29601,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,High,Done,nnao,sambhavdutt,sambhavdutt,23/Apr/18 2:08 PM,25/Apr/18 12:25 AM,26/Apr/18 6:49 AM,25/Apr/18 12:25 AM,,,,v1.2,,fabric-quality,,,,,,0,ci_failure,,,,,,,"The following errors are failing the fabric smoke-tests in daily, verify and merge CI jobs in fabric-test, 


{code:java}
Failing step: Then a user receives a success response of 100 ... failed in 0.000s
Location: peer.feature:44
Assertion Failed: Expected response was 100; received 100
{code}


{code:java}
@smoke
  Scenario Outline: FAB-1440, FAB-3861: Basic Chaincode Execution - kafka orderer type, using couchdb, with tls -- @1.7 
    Given I have a bootstrapped fabric network of type kafka using state-database couchdb with tls ... passed in 24.944s
    When a user sets up a channel ... passed in 68.746s
    And a user deploys chaincode ... passed in 57.072s
    When a user queries on the chaincode ... passed in 4.883s
    Then a user receives a success response of 100 ... failed in 0.000s
    When a user invokes on the chaincode ... skipped in 0.000s
    And I wait ""5"" seconds ... skipped in 0.000s
    And a user queries on the chaincode ... skipped in 0.000s
    Then a user receives a success response of 95 ... skipped in 0.000s
{code}

*Build Log*
https://jenkins.hyperledger.org/view/fabric-test/job/fabric-test-verify-x86_64/lastSuccessfulBuild/artifact/gopath/src/github.com/hyperledger/fabric-test/feature/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02fx1:,,,,,,,,nnao,sambhavdutt,,,,,,,,,,,,,,,master,,,true,23/Apr/18 5:05 PM;nnao;https://gerrit.hyperledger.org/r/c/20903/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peer node fails to start due to invalid memory address or nil pointer dereference,FAB-9646,29591,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,High,,,tboloo,tboloo,23/Apr/18 9:46 AM,25/Apr/18 5:25 AM,26/Apr/18 6:49 AM,,,,,,,fabric-samples,,,,,,0,,,,,,,,"Hi,

I'm trying to run [chaincode-docker-devmode|https://github.com/hyperledger/fabric-samples/tree/release-1.1/chaincode-docker-devmode] sample, however the peer node fails to start with 

 invalid memory address or nil pointer dereference, details in attached [^peer.log].

I'm using 1.1.0-review version, both 1.1.0-rc1 and 1.1.0 fails with the expiration error as in -FAB-8595-

I'm running Docker version 17.12.1-ce, build 7390fc6 on  Debian GNU/Linux 9.4 (stretch)",,,,,,,,,,,,,,,,,,,,,,,,23/Apr/18 9:43 AM;tboloo;peer.log;https://jira.hyperledger.org/secure/attachment/14908/peer.log,,,,,,,,0|i02fv1:,,,,,,,,lehors,tboloo,,,,,,,,,,,,,,,,,,,"24/Apr/18 5:18 PM;lehors;I just tried this on my Ubuntu 16.04.1 system and I couldn't reproduce the problem. Here is the peer I have:

 Version: 1.1.0
  Go version: go1.9.2
  OS/Arch: linux/amd64
  Experimental features: false
  Chaincode:
   Base Image Version: 0.4.6
   Base Docker Namespace: hyperledger
   Base Docker Label: org.hyperledger.fabric
   Docker Namespace: hyperledger

 ","24/Apr/18 7:09 PM;tboloo;Tried it on the different machine, same result: 1.1.0 fails with the expiration error as in FAB-8595, 1.1.0-preview fails with invalid memory address or nil pointer dereference.

Docker version 18.03.0-ce, build 0520e24

Debian GNU/Linux 9.4 (stretch)

 

 ",25/Apr/18 5:25 AM;tboloo;Update: works for version 1.0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fabric/examples/e2e_cli v1.1.0 tutorial fails with error on RHEL Linux v7.4.0 platform on x86_64,FAB-9642,29585,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,High,,,pvrbharg,pvrbharg,22/Apr/18 2:08 AM,25/Apr/18 9:41 PM,26/Apr/18 6:49 AM,,,,,,,fabric-examples,,,,,,0,,,,,,,,Out of the box example e2e_cli sample fails - with the above error. For details see the attachments,[^Logs.zip],,,,,,,,,,,,,,,,,,,,,,,22/Apr/18 2:08 AM;pvrbharg;Logs.zip;https://jira.hyperledger.org/secure/attachment/14907/Logs.zip,,,,,,,,0|i02ftx:,,,,,,,,lehors,pvrbharg,,,,,,,,,,,,,,,,,,,"25/Apr/18 1:16 PM;lehors;Hi,

There is an error all right but it has nothing to do with Java. Java isn't used here and the message merely relates to the fact that currently the support for Java chaincode is disabled. The e2e example uses a Go chaincode. You can see that the same message about Java is displayed on the previous step while installing the chaincode without triggering any error:

2018-04-22 01:57:11.582 UTC [chaincodeCmd] getChaincodeSpec -> DEBU 005 java chaincode disabled
2018-04-22 01:57:11.652 UTC [golang-platform] getCodeFromFS -> DEBU 006 getCodeFromFS github.com/hyperledger/fabric/examples/chaincode/go/chaincode_example02
2018-04-22 01:57:11.953 UTC [golang-platform] func1 -> DEBU 007 Discarding GOROOT package fmt
2018-04-22 01:57:11.953 UTC [golang-platform] func1 -> DEBU 008 Discarding provided package github.com/hyperledger/fabric/core/chaincode/shim
2018-04-22 01:57:11.953 UTC [golang-platform] func1 -> DEBU 009 Discarding provided package github.com/hyperledger/fabric/protos/peer
2018-04-22 01:57:11.953 UTC [golang-platform] func1 -> DEBU 00a Discarding GOROOT package strconv
2018-04-22 01:57:11.953 UTC [golang-platform] GetDeploymentPayload -> DEBU 00b done
2018-04-22 01:57:11.953 UTC [container] WriteFileToPackage -> DEBU 00c Writing file to tarball: src/github.com/hyperledger/fabric/examples/chaincode/go/chaincode_example02/chaincode_example02.go
2018-04-22 01:57:11.959 UTC [container] WriteFileToPackage -> DEBU 00d Writing file to tarball: src/github.com/hyperledger/fabric/examples/chaincode/go/chaincode_example02/chaincode_example02_test.go
2018-04-22 01:57:11.961 UTC [msp/identity] Sign -> DEBU 00e Sign: plaintext: 0AB4070A5C08031A0C08F7D7EFD60510...83C77F030000FFFF1E416A37002E0000
2018-04-22 01:57:11.961 UTC [msp/identity] Sign -> DEBU 00f Sign: digest: C304B0106D73D2FAAA1E2F1DAACC11164F3DFDB906D86B89EF13C905786F0A51
2018-04-22 01:57:11.981 UTC [chaincodeCmd] install -> DEBU 010 Installed remotely response:<status:200 payload:""OK"" >
2018-04-22 01:57:11.981 UTC [main] main -> INFO 011 Exiting.....
===================== Chaincode is installed on remote peer PEER2 =====================","25/Apr/18 9:41 PM;pvrbharg;Hi,

Glad it is not Java that is the culprit and I know example02 is written in Go. I can understand the chaincode logic. .

So why are we seeing this bogus and non-issue messages when they are not in play - especially with some step failure not being material and other steps being failures - where you can not progress at all?

If there is no Java in play - perhaps we should not be seeing any of these unconnected messages at all - because there is no connection.

I attached peer and orderer logs and I could not find anything in their logs either. Did you find anything that missed? In any case the sample is not working out of the box on RHEL platform and my logs [both client and server side] are attached. Thanks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"chaincode testing fail in CI tests for fabric-test-verify, Assertion Error- unexpected response received.",FAB-9622,29560,Bug,Duplicate,FAB,Fabric,software,ChristopherFerris,,,High,,nnao,sambhavdutt,sambhavdutt,20/Apr/18 3:46 PM,23/Apr/18 8:49 PM,26/Apr/18 6:49 AM,,,,,v1.2,,fabric-quality,,,,,,0,ci_failure,,,,,,,"chaincodes tests failing on several instances due to 'Assertion Error' unexpected response

*chaincodes.Chaincodes Testing.FAB 5791 Test API in SHIM interface using marbles02 and shimApiDriver chaincodes for kafka orderer couchdb db GOLANG lang -- @1.2 *



{code:java}
Failing step: Then a user receives a response containing ""docType"":""marble"" ... failed in 0.000s
Location: chaincodes.feature:395
Assertion Failed: Expected response was ""docType"":""marble""; received {""docType"":""marble"",""name"":""marble1"",""color"":""red"",""size"":35,""owner"":""tom""}
{code}


*chaincodes.Chaincodes Testing.FAB-6211: Test example02 chaincode written using GOLANG with tls -- @1.1*



{code:java}
Failing step: Then a user receives a success response of 1000 ... failed in 0.000s
Location: chaincodes.feature:171
Assertion Failed: Expected response was 1000; received 1000
{code}


",,,,,,,,,,,,,,,,,FAB-9650,,,,,,,20/Apr/18 3:45 PM;sambhavdutt;fabric-test-verify.png;https://jira.hyperledger.org/secure/attachment/14904/fabric-test-verify.png,,,,,,,,0|i02fol:,,,,,,,,nnao,sambhavdutt,,,,,,,,,,,,,,,,,,,"23/Apr/18 1:43 PM;sambhavdutt;This chaincode test is still failing in the fabric-test smoke CI jobs , daily, verify & merge, due to same  reason detailed above.","23/Apr/18 8:47 PM;nnao;This JIRA seems to be same as FAB-9650. So this is failing because the ""Query Result:"" has been removed from the output.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orderer tests failing in CI tests , genesis information 'undefined' in peer0.org1.example.com",FAB-9621,29559,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,High,Done,nnao,sambhavdutt,sambhavdutt,20/Apr/18 3:26 PM,23/Apr/18 10:44 PM,26/Apr/18 6:49 AM,23/Apr/18 10:44 PM,,,,v1.2,,fabric-quality,,,,,,0,ci_failure,,,,,,,"The following errors are observed in CI orderer tests,


{code:java}
Failing step: When a user fetches genesis information from peer ""peer0.org1.example.com"" ... undefined in 0.000s
Location: orderer.feature:68
None
{code}

*Build logs*

https://jenkins.hyperledger.org/view/Daily/job/fabric-smoke-test-daily-x86_64/107/artifact/gopath/src/github.com/hyperledger/fabric-test/feature/
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02fod:,,,,,,,,nnao,sambhavdutt,,,,,,,,,,,,,,,master,,,true,"23/Apr/18 1:44 PM;sambhavdutt;This Orderer tests are still failing in the fabric-test smoke CI jobs , daily, verify & merge, due to same reason detailed above.",23/Apr/18 6:51 PM;nnao;https://gerrit.hyperledger.org/r/c/20909/,23/Apr/18 8:53 PM;nnao;Maybe This patch needs to merge FAB-9650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bootstrap tests fail in CI tests due to 'Assertion Error' in 'fabric-test-daily-x86_64' job,FAB-9617,29555,Bug,Duplicate,FAB,Fabric,software,ChristopherFerris,,,High,,latitiah,sambhavdutt,sambhavdutt,20/Apr/18 3:09 PM,23/Apr/18 5:28 PM,26/Apr/18 6:49 AM,,,,,v1.2,,fabric-quality,,,,,,0,ci_failure,,,,,,,"Multiple instances of the Assertion error are observed from last 3 builds,


 
{code:java}
@daily
  Scenario Outline: FAB-4776/FAB-4777: Bring up a kafka based network and check peers -- @1.1 
    Given I have a bootstrapped fabric network of type kafka using state-database leveldb ... passed in 29.445s
    When a user sets up a channel ... passed in 63.532s
    And a user deploys chaincode ... passed in 60.479s
    And the orderer node logs receiving the orderer block ... passed in 0.585s
    And a user queries on the chaincode with args [""query"",""a""] ... passed in 7.766s
    Then a user receives a success response of 100 ... failed in 0.001s
{code}

*Build Log*

https://jenkins.hyperledger.org/view/Daily/job/fabric-test-daily-x86_64/327/artifact/gopath/src/github.com/hyperledger/fabric-test/regression/daily/",,,,,,,,,,,,,,,,,FAB-9650,,,,,,,,,,,,,,,0|i02fnh:,,,,,,,,latitiah,nnao,sambhavdutt,,,,,,,,,,,,,,,,,,"23/Apr/18 4:48 PM;latitiah;This is failing because the ""Query Result:"" has been removed from the output.",23/Apr/18 4:53 PM;nnao;This JIRA seems to be same as FAB-9650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heavy load on peer,  event hub  sometimes disconnection, and finaly out of memory",FAB-9585,29505,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,High,,,eason0108,eason0108,19/Apr/18 7:57 AM,19/Apr/18 8:50 AM,26/Apr/18 6:49 AM,,v1.1,,,,,fabric-peer,,,,,,0,Heavy,load,,,,,," heavy load with 3k/s   , about 30 min  , one peer out of memory ,down.

also, there are a lot of error  

UTC [committer] postCommit -> ERRO 159c Channel [bestchannel] Error sending block event for block number [2114]: could not send the blocking event

3.why there are so many warnings while i set debug level = error  

 ","1orderer  kafka mode （ 2 orderer  will be better）  8C16G

4peers   ,each with   8C16G    ubuntu   16.04

fabric 1.1",,,,,,,,,,,,,,,,,,,,,,,19/Apr/18 7:57 AM;eason0108;1.jpg;https://jira.hyperledger.org/secure/attachment/14898/1.jpg,19/Apr/18 7:57 AM;eason0108;2.jpg;https://jira.hyperledger.org/secure/attachment/14897/2.jpg,19/Apr/18 7:57 AM;eason0108;3.jpg;https://jira.hyperledger.org/secure/attachment/14896/3.jpg,19/Apr/18 7:57 AM;eason0108;c974cbf2132dcfcef694e822c771c877848715492c19735bba12980f533be3fb-json.log;https://jira.hyperledger.org/secure/attachment/14895/c974cbf2132dcfcef694e822c771c877848715492c19735bba12980f533be3fb-json.log,,,,,0|i02fd1:,,,,,,,,eason0108,,,,,,,,,,,,,,,,,,,,"19/Apr/18 8:04 AM;eason0108;it happens everytime.

client sdk is java sdk  1.0.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
