Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Duplicate),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Epic Link),Custom field (Rank),Custom field (Root Cause Analysis),Sprint,Sprint,Sprint,Sprint,Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
`make images` results in goimports failures,FAB-1,12251,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,bgorman,bgorman,bgorman,7/28/2016 5:40,8/12/2016 1:52,4/26/2018 6:50,8/12/2016 1:52,,,,,,,,,,,0,,,,,"When running `make images` on a cleanly provisioned vagrant VM, I often run into goimports causing fatal errors in the build.

From manually running goimports across some of the files it seems all of the files in ""vendor"" have not been added to the $GOPATH. Goimports seems to assume, if it cannot find the source files, that the package names will be based off the directory name. The go-logging package does not meet this, as its package name is ""logging"". The spf13/viper package is also not found, but uses the expected package name, thus is not removed by goimports.

Short of being able to install the ""vendor"" files into the $GOPATH (I'm not sure if this is desired or not) prior to running goimports, this can be worked around by explicitly labeling go-logging with a custom package name of ""logging"". 

E.g.

import (
    logging ""github.com/op/go-logging""
)

-------------------
build/bin/peer
CGO_CFLAGS="" "" CGO_LDFLAGS=""-lrocksdb -lstdc++ -lm -lz -lbz2 -lsnappy"" GOBIN=/hyperledger/build/bin go install github.com/hyperledger/fabric/peer
Binary available as build/bin/peer
build/bin/membersrvc
CGO_CFLAGS="" "" CGO_LDFLAGS=""-lrocksdb -lstdc++ -lm -lz -lbz2 -lsnappy"" GOBIN=/hyperledger/build/bin go install github.com/hyperledger/fabric/membersrvc
Binary available as build/bin/membersrvc
cd gotools && make
make[1]: Entering directory `/hyperledger/gotools'
make[2]: Entering directory `/hyperledger/gotools'
Building gomega
go get github.com/onsi/gomega
make[2]: Leaving directory `/hyperledger/gotools'
make[1]: Leaving directory `/hyperledger/gotools'
LINT: Running code checks..
Running go vet
go vet ./consensus/...
go vet ./core/...
go vet ./events/...
go vet ./examples/...
go vet ./membersrvc/...
go vet ./peer/...
go vet ./protos/...
Running goimports
The following files contain goimports errors
consensus/controller/controller.go consensus/executor/executor.go consensus/executor/executor_test.go consensus/helper/handler.go consensus/noops/noops.go consensus/pbft/batch.go consensus/pbft/fuzz_test.go consensus/pbft/pbft-core.go consensus/pbft/pbft-core_test.go consensus/util/events/events.go consensus/util/messagefan.go
The goimports command must be run for these files
The following files contain goimports errors
core/admin.go core/chaincode/config.go core/chaincode/handler.go core/chaincode/platforms/golang/hash.go core/chaincode/shim/chaincode.go core/chaincode/shim/shim_test.go core/comm/connection.go core/config/config.go core/config.go core/container/config.go core/container/dockercontroller/dockercontroller.go core/container/dockercontroller/dockercontroller_test.go core/container/inproccontroller/inproccontroller.go core/container/util/dockerutil.go core/container/util/writer.go core/container/vm.go core/crypto/client_tca.go core/crypto/crypto_settings.go core/crypto/crypto_settings_test.go core/crypto/crypto_test.go core/crypto/node_eca.go core/crypto/node_tlsca.go core/db/db.go core/devops.go core/ledger/blockchain_indexes.go core/ledger/genesis/genesis.go core/ledger/ledger.go core/ledger/perf_test.go core/ledger/perfstat/stat_holder.go core/ledger/statemgmt/buckettree/bucket_cache_test.go core/ledger/statemgmt/buckettree/perf_test.go core/ledger/statemgmt/buckettree/state_impl.go core/ledger/statemgmt/commons.go core/ledger/statemgmt/state/state.go core/ledger/statemgmt/trie/state_trie.go core/ledger/test/ledger_suite_test.go core/ledger/testutil/test_util.go core/logging.go core/logging_test.go core/peer/peer.go core/peer/statetransfer/statetransfer.go core/peer/statetransfer/statetransfer_test.go core/rest/api.go core/rest/api_test.go core/rest/rest_api.go core/system_chaincode/api/sysccapi.go core/system_chaincode/config.go
The goimports command must be run for these files
The following files contain goimports errors
events/config.go events/producer/producer.go
The goimports command must be run for these files
The following files contain goimports errors
examples/chaincode/go/asset_management/app/app.go examples/chaincode/go/asset_management/app/app_internal.go examples/chaincode/go/asset_management/asset_management.go examples/chaincode/go/asset_management02/asset_management02.go examples/chaincode/go/asset_management02/asset_management02_test.go examples/chaincode/go/asset_management_with_roles/asset_management_with_roles.go examples/chaincode/go/asset_management_with_roles/asset_management_with_roles_test.go examples/chaincode/go/chaincode_example02/chaincode_example02_test.go examples/chaincode/go/chaincode_example03/chaincode_example03_test.go examples/chaincode/go/chaincode_example04/chaincode_example04_test.go examples/chaincode/go/chaincode_example05/chaincode_example05_test.go examples/chaincode/go/rbac_tcerts_no_attrs/rbac.go examples/chaincode/go/rbac_tcerts_no_attrs/rbac_test.go
The goimports command must be run for these files
The following files contain goimports errors
membersrvc/ca/aca.go membersrvc/ca/aca_test.go membersrvc/ca/eca_test.go membersrvc/ca/ecap.go membersrvc/ca/tca_test.go membersrvc/ca/tcap.go membersrvc/ca/tlsca_test.go
The goimports command must be run for these files
The following files contain goimports errors
peer/main.go
The goimports command must be run for these files
The following files contain goimports errors
protos/init.go
The goimports command must be run for these files
------------------

vagrant@hyperledger-devenv:v0.0.10-0716064:/hyperledger$ goimports -v -d events/config.go
2016/07/28 04:53:21.992158 fixImports(filename=""events/config.go""), abs=""/hyperledger/events/config.go"", srcDir=""/hyperledger/events"" ...
2016/07/28 04:53:21.993427 importPathToNameGoPathParse(""github.com/op/go-logging"", srcDir=""/hyperledger/events"") = """", cannot find package ""github.com/op/go-logging"" in any of:
        /opt/go/src/github.com/op/go-logging (from $GOROOT)
        /opt/gopath/src/github.com/op/go-logging (from $GOPATH)
2016/07/28 04:53:21.994737 importPathToNameGoPathParse(""github.com/spf13/viper"", srcDir=""/hyperledger/events"") = """", cannot find package ""github.com/spf13/viper"" in any of:
        /opt/go/src/github.com/spf13/viper (from $GOROOT)
        /opt/gopath/src/github.com/spf13/viper (from $GOPATH)
2016/07/28 04:53:21.995069 open /opt/gopath/src/.goimportsignore: no such file or directory
2016/07/28 04:53:21.995241 scanning $GOPATH
2016/07/28 04:53:21.995489 scanning $GOROOT
2016/07/28 04:53:22.019560 scanned $GOROOT
2016/07/28 04:53:22.408786 scanned $GOPATH
diff events/config.go gofmt/events/config.go
--- /tmp/gofmt583448441 2016-07-28 04:53:22.443013329 +0000
+++ /tmp/gofmt079091332 2016-07-28 04:53:22.443013329 +0000
@@ -22,7 +22,6 @@
        ""runtime""
        ""strings""

-       ""github.com/op/go-logging""
        ""github.com/spf13/viper""
 )
---------------------------","Windows 7, running vagrant VM with commit level 0716064b25428ea2426fa589db365c419726b24b",3600,3600,,0%,3600,3600,,,,,,,,,,,,,,,,,,,0|i00dvb:,,,,,,bgorman,grapebaba,juliancarrivick,,,,,feature/ca,feature/convergence,master,TRUE,"28/Jul/16 9:49 AM;grapebaba;Yep, I also came across this issue",29/Jul/16 3:23 AM;bgorman;A quick way to test this is `make linter`,"29/Jul/16 3:56 AM;bgorman;Submitted a review: https://gerrit.hyperledger.org/r/#/c/325/

If anyone cares to take a look (or fix it in a better manner) that would be welcome.",29/Jul/16 3:58 AM;juliancarrivick;I think the reason for this is that goimports doesn't seem to search the vendors folder for packages.,29/Jul/16 5:23 AM;bgorman;[~juliancarrivick] yeah you're likely right judging by the goimports output. Perhaps GOPATH should be set correctly in scripts/goimports.sh instead?,"03/Aug/16 3:31 AM;juliancarrivick;Update - [~bgorman] and I figured out what was going on here. When you are in the vagrant machine and you go to `/hyperledger`, `make linter` will fail with the above error. If you go to `$GOPATH/src/github.com/hyperledger/fabric` and run it then it will pass.

Hence `goimports` expects you to be inside the gopath.","03/Aug/16 3:43 AM;bgorman;Found a way simpler method to resolve this. Rather than trying to enforce the package names == directory names that goimports assumes, we can fix the vendoring behaviour in goimports by using `goimports -srcdir $GOPATH/src/github.com/hyperledger/fabric`",04/Aug/16 12:34 AM;bgorman;Changeset got merged in.,,,,,,,,,,,,,,
"When only 1 peer is up, `peer network list` is an empty object",FAB-3,12301,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,jiangyaoguo,juliancarrivick,juliancarrivick,8/5/2016 0:33,8/25/2016 2:04,4/26/2018 6:50,8/25/2016 2:02,,,,,,,,,,,0,,,,,"When the peer is the only peer in the fabric {{peer network list}} results in a response of
{noformat}
{}
{noformat}
When one peer is up it responds with
{noformat}
{""peers"":[{""ID"":{""name"":""vp1""},""address"":""172.17.0.6:7051"",""type"":1}]}
{noformat}

I would expect that when it is the only peer, it would respond with 
{noformat}
{""peers"":[]}
{noformat}",Inside peer,,,,,,,,,,,,,,,,,,,,,,,,,0|i00dvr:,,,,,,jiangyaoguo,juliancarrivick,,,,,,feature/ca,feature/convergence,master,TRUE,"11/Aug/16 6:23 AM;jiangyaoguo;Is there anyone working on this? If no, I can look into it.","11/Aug/16 6:39 AM;juliancarrivick;Go for it!
If you can, assign the issue to yourself (there should be a button above), otherwise I think I can.",25/Aug/16 12:47 AM;juliancarrivick;I believe this is fixed now?,25/Aug/16 2:02 AM;jiangyaoguo;Yes. This has been fixed by https://gerrit.hyperledger.org/r/#/c/485/. I'm not familiar with JIRA. Change status to Done?,25/Aug/16 2:04 AM;juliancarrivick;Yep! :),,,,,,,,,,,,,,,,,
[api] REST /network/peers not consistent with CLI network list,FAB-122,12421,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,,angrbrd,angrbrd,8/16/2016 20:33,4/2/2017 12:31,4/26/2018 6:50,4/2/2017 12:31,v0.6,,,,WON'T FIX,,,,,,0,api,,,,"There is an inconsistency between two ways of getting what should be the same information:

REST API /network/peers returns info for all peers.
CLI peer network list excludes the peer running the request.

This API on both REST and CLI should return info for all the nodes.

This issue was originally tracked in GitHub here: https://github.com/hyperledger/fabric/issues/1647",,,,,,,,,,,,,,,,,,,,,,,,,,0|i00edj:,,,,,,angrbrd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
busywork: Timer overflow,FAB-139,12438,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,bcbrock,bcbrock,bcbrock,8/16/2016 22:42,10/21/2016 22:34,4/26/2018 6:50,10/4/2016 23:52,,,,,,,,,,,0,,,,,See github issue #2379,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00ehb:,,,,,,bcbrock,,,,,,,v0.6,feature/convergence,master,TRUE,,,,,,,,,,,,,,,,,,,,,,
Query result of a string which contains '%' (percent symbol) is converted unexpectedly in the REST API,FAB-240,12541,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,,ryokawajp,ryokawajp,8/24/2016 12:26,4/9/2017 21:03,4/26/2018 6:50,4/9/2017 21:03,,,,,,,,,,,0,REST,,,,"h3. Migrated from GitHub:
Query result of a string which contains '%' (percent symbol) is converted unexpectedly in the REST API. · Issue #1517 · hyperledger/fabric
https://github.com/hyperledger/fabric/issues/1517
Please consult the link above for additional comments.

h2. Description
When a Query method of a chaincode returns a string which includes '%' character, it causes a problem that the letters after % is converted to unexpected string, or sometimes removed.
For example, ""100% yuki"" becomes ""100%!y(MISSING)uki"".

This happens in REST API only. CLI is OK.

This behavior is similar to that of fmt.Printf(), where % is a special character.
I tried to read the Fabric source code, but I could not identify the code which causes this conversion.
Is this a known issue?
Any comments are welcome.

h2. Describe How to Reproduce
- Deploy the following chaincode.
- Run a query from REST API. The returned value will be ""100%!y(MISSING)uki"", while the expected value is ""100% yuki"".
- Run a query from CLI. The returned value will be ""100% yuki"". This is correct.
- I used --peer-chaincodedev option.
- I obtained the source code of Fabric on April 24th.
- Go version 1.6 linux/amd64
- security = off

{code}
package main
import (
	""fmt""
	""github.com/hyperledger/fabric/core/chaincode/shim""
)
type SimpleChaincode struct {
}
func (t *SimpleChaincode) Init(stub *shim.ChaincodeStub, function string, args []string) ([]byte, error) {
	return nil, nil
}
func (t *SimpleChaincode) Invoke(stub *shim.ChaincodeStub, function string, args []string) ([]byte, error) {
	return nil, nil
}
func (t *SimpleChaincode) Query(stub *shim.ChaincodeStub, function string, args []string) ([]byte, error) {
	response := ""100% yuki""
	return []byte(response), nil
}
func main() {
	err := shim.Start(new(SimpleChaincode))
	if err != nil {
		fmt.Printf(""Error starting Simple chaincode: %s"", err)
	}
}
{code}
POST /chaincode  body
{code}
{
  ""jsonrpc"": ""2.0"",
  ""method"": ""query"",
  ""params"": {
      ""type"": 1,
      ""chaincodeID"":{
          ""name"":""chaincode_percentbug""
      },
      ""ctorMsg"": {
         ""function"":""query"",
         ""args"":[]
      },
      ""secureContext"": ""test_user0""
  },
  ""id"": 5
}
{code}","- I obtained the source code of Fabric on April 24th.
- Go version 1.6 linux/amd64
- security = off
",,,,,,,,,,,,,,,,,,,,,,,,,0|i00f3b:,,,,,,binhn,corecode,ryokawajp,ynamiki,,,,,,,,24/Aug/16 1:40 PM;corecode;This was https://github.com/hyperledger/fabric/issues/1517,"22/Feb/17 2:35 AM;ynamiki;I cannot reproduce this problem with Docker image ""hyperledger/fabric-peer:x86_64-0.6.1-preview."" Fabric replies ""100% yuki"" for the query.

Already fixed?",09/Apr/17 9:03 PM;binhn;There is no longer REST APIs in Fabric.,,,,,,,,,,,,,,,,,,,
fail to run the process as the github document  says.,FAB-246,12547,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,,dongzhuoyao,dongzhuoyao,8/25/2016 4:49,4/12/2017 18:01,4/26/2018 6:50,4/12/2017 18:00,,,,,WON'T FIX,,fabric-docs,,,,0,Documentation,,,,"I have read the doc from [https://github.com/hyperledger/fabric/tree/master/docs|https://github.com/hyperledger/fabric/tree/master/docs],

in the page [https://github.com/hyperledger/fabric/blob/master/docs/Setup/Chaincode-setup.md|https://github.com/hyperledger/fabric/blob/master/docs/Setup/Chaincode-setup.md]:

I will leverage the docker files,and follow the steps,when I  go to :

!question.png|thumbnail! 

CORE_CHAINCODE_ID_NAME=mycc CORE_PEER_ADDRESS=0.0.0.0:30303 ./chaincode_example02

I run it in my host machine,and also run a  ""docker-composer up"" as the Docs say.

but I got the following errors:
{color:red}{color:#59afe1}
chaincode_example02 CORE_CHAINCODE_ID_NAME=mycc CORE_PEER_ADDRESS=0.0.0.0:30303 ./chaincode_example02
09:39:45.942 [shim] DEBU : Peer address: 0.0.0.0:30303
09:39:45.944 [shim] DEBU : os.Args returns: [./chaincode_example02]
09:39:45.947 [shim] DEBU : Registering.. sending REGISTER
2016/08/25 09:39:45 transport: http2Client.notifyError got notified that the client transport was broken read tcp 127.0.0.1:55988->127.0.0.1:30303: read: connection reset by peer.
09:39:45.951 [shim] ERRO : Received error from server: rpc error: code = 13 desc = ""transport is closing"", ending chaincode stream
Error starting Simple chaincode: rpc error: code = 13 desc = ""transport is closing""%
{color}{color}

what shall I do?that's a really simple example but I cannot run it successfully.



",,3600,3600,,0%,3600,3600,,,,,,25/Aug/16 4:44 AM;dongzhuoyao;question.png;https://jira.hyperledger.org/secure/attachment/10045/question.png,,,,,,,,,,,,,0|i00dx3:4,,,,,,ChristopherFerris,dongzhuoyao,,,,,,,,,,"28/Aug/16 10:33 PM;ChristopherFerris;The GitHub repository was transferred to Gerrit, and we left things frozen on GitHub to allow for pull requests and issues to be transferred. It is likely that you had a mismatched version of the software from the documentation. The documentation [1] and the GitHub source [2]  and the DockerHub images [3] have been re-aligned, and you'll notice that we've updated the port assignments. Please try the current documentation
as it carries the correct port assignments.

[1] http://hyperledger-fabric.readthedocs.io/en/latest/
[2] https://github.com/hyperledger/fabric
[3] https://hub.docker.com/u/hyperledger/",12/Apr/17 6:01 PM;ChristopherFerris;Closing because no longer relevant,,,,,,,,,,,,,,,,,,,,
[node-SDK] chain.addPeer() invalid pem parameter accepted,FAB-433,12734,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,harrisob@us.ibm.com,jjjjibm,jjjjibm,9/24/2016 6:49,2/8/2017 15:25,4/26/2018 6:50,2/8/2017 15:25,,,,,,,fabric-sdk-node,,,,0,node-SDK,,,,"I added invalid pem parameters to chain-tests.js

if (chain.addPeer(""grpc://localhost:303030"", """")) {
			// This parameter is optional, so probably empty string should be allowed
			if (chain.addPeer(""grpc://localhost:303031"", bogusPem)) {
				// not a string, so why was it accepted?
				if (typeof bogusPem == 'string' || bogusPem instanceof String) {
					console.log(""BogusPem is a strong"");
				}
				else {
					console.log(""BogusPem is not a string"");
				}
				fail(t, ""peer pem: pem= "" + bogusPem + "" unexpectedly accepted"");
			}
			else {
				pass(t, ""peer pem"");
			}
		}
		else {
			fail(t, ""peer pem: null pem was rejected"");
		}

Here is the output:
# peer pem
BogusPem is not a string
not ok 32 Failure: [peer pem: pem= -12 unexpectedly accepted]: [undefined]

You can also hard code -12 into the test case for a similar result.

How to recreate:
Add the code fragment to one of the sdk/node/test/unit/*.js tests
Run make node-sdk-unit-tests as usual. ",vLaunch VM running master ,,,,,,,,,,,,,,,,,,,,,,,,,0|i00g33:,,,,,,jjjjibm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The log is confusing when setting confidentiality level for transaction in newInvokeOrQueryTransaction,FAB-735,13039,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,hanhzf,hanhzf,hanhzf,10/17/2016 23:47,11/17/2016 21:13,4/26/2018 6:50,11/17/2016 21:12,,,,,v0.6,,fabric-peer,,,,0,node-SDK,,,,"Currently the log looks like below: 

       // Set confidentiality level
        if (request.confidential) {
            debug('Set confidentiality on');
            tx.setConfidentialityLevel(_fabricProto.ConfidentialityLevel.CONFIDENTIAL)
        } else {
           {color:red} debug('Set confidentiality on');{color}
            tx.setConfidentialityLevel(_fabricProto.ConfidentialityLevel.PUBLIC)
        }


Both CONFIDENTIAL and PUBLIC are logged as ('Set confidentiality on'), should log as :

{color:#14892c}debug(""Set confidentiality level to CONFIDENTIAL"");
debug(""Set confidentiality level to PUBLIC"");{color}",,14400,14400,,0%,14400,14400,,,,,,,,,,,,,,,,,,,0|hzzztj:,,Sprint 3,Sprint 4 - nodeSDK,Sprint 5 - nodeSDK,,hanhzf,jimthematrix,,,,,,,,,,18/Oct/16 12:18 AM;hanhzf;Fix has been submitted to https://gerrit.hyperledger.org/r/#/c/1823/,17/Nov/16 9:13 PM;jimthematrix;marking this as done (there's no better status to use) as this is not needed any longer in v1.0 code base since confidentiality with encryption is not supported anymore.,,,,,,,,,,,,,,,,,,,,
"""make docker"" failed with error, the ""docker"" command was missed from ""build -t hyperledger/fabric-sdk-py .""",FAB-739,13043,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,hanhzf,hanhzf,hanhzf,10/18/2016 7:28,10/19/2016 13:05,4/26/2018 6:50,10/19/2016 13:05,,,,,v0.6,,fabric-sdk-py,,,,0,,,,,"Current the makefile is:

# Generate the hyperledger/fabric-sdk-py image
.PHONY: docker
docker:
{color:#d04437}        build -t hyperledger/fabric-sdk-py .
{color}


should use {color:#14892c}""docker build -t hyperledger/fabric-sdk-py .""{color}",,,,,,,,,,,,,,,,,,,,,,,,,,0|i00hdl:,,Sprint 2,,,,hanhzf,,,,,,,,,,,18/Oct/16 7:49 AM;hanhzf;code submitted: https://gerrit.hyperledger.org/r/#/c/1833/1,,,,,,,,,,,,,,,,,,,,,
Modifying fabric code and rebuilding docker target(make docker) fails,FAB-1305,13712,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Low,Done,,pmullaney,pmullaney,12/7/2016 23:08,5/11/2017 20:36,4/26/2018 6:50,5/11/2017 20:36,v1.0.0,,,,Unverifiable,,fabric-build,,,,0,,,,,"Updating fabric code and rebuilding with the docker target doesn't seem to update fabric binaries - here is a log:
vagrant@hyperledger-devenv:v0.2.1-3ea19f3:/opt/gopath/src/github.com/hyperledger/fabric$ touch events/producer/eventhelper.go
vagrant@hyperledger-devenv:v0.2.1-3ea19f3:/opt/gopath/src/github.com/hyperledger/fabric$ make docker      
Building build/docker/bin/peer
mkdir -p build/image/peer/payload
cp build/docker/bin/peer peer/core.yaml msp/peer-config.json build/image/peer/payload
Building build/docker/bin/orderer
mkdir -p build/image/orderer/payload
cp build/docker/bin/orderer orderer/orderer.yaml build/image/orderer/payload
vagrant@hyperledger-devenv:v0.2.1-3ea19f3:/opt/gopath/src/github.com/hyperledger/fabric$",,,,,,,,,,,,,,,,,,,,,,,,,,0|i00kgx:,,,,,,ChristopherFerris,greg.haskins,pmullaney,smithbk,,,,,,,,"08/Feb/17 1:06 PM;greg.haskins;Workaround should be ""make clean"" first, thus marking lower priority.","19/Apr/17 1:11 AM;smithbk;Greg, assigning to Anil.  If you want to do this, pls feel free to grab it back.

Anil, I think the only thing needed here is to make the binaries dependent upon the source files, so a change to the source files triggers a rebuild of the binaries which should then trigger a rebuild of the docker image.  You can reproduce the problem as follows:

# make fabric-ca-server
   to build the executable
# touch cmd/fabric-ca-server/main.go
# make fabric-ca-server
   will say it is up-to-date, but it should rebuild
",11/May/17 8:36 PM;ChristopherFerris;this currently works as expected. closing,,,,,,,,,,,,,,,,,,,
