Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Description,Environment,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Duplicate),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Epic Link),Custom field (Rank),Custom field (Root Cause Analysis),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Relative paths in Kafka.TLS not evaluated properly,FAB-9716,29707,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,Medium,,,kchristidis,kchristidis,25/Apr/18 10:21 PM,25/Apr/18 10:21 PM,26/Apr/18 6:50 AM,,v1.1,,,,,,v1.2,,,fabric-orderer,,,,0,kafka,,,,,,,,"What happens today: If you:

# Use relative paths as values for the {{File}} keys in {{orderer.yaml}}, and
# Invoke the orderer process from a different path than the one that {{orderer.yaml}} resides in

...then those files will not be loaded by the configuration.

The reason for this is that the {{stringFromFile}} and {{pemBlocksFromFile}} decode hooks, — responsible for resolving the file paths and loading the corresponding files — are called before {{completeInitialization}}, so they do {{current working directory}} + {{relative path}} in order to resolve the absolute path.

See {{Load}} in {{orderer/common/localconfig/config.go}} and notice how {{viperutil.EnhancedExactUnmarshal}} is called before {{completeInitialization}}.

Perhaps there is some wizardry that we can come up with in those decode hooks in order to make them resolve the right path ({{config dir}} + {{relative path}}), but my vote is to remove these hooks altogether, as well as the {{File:}} option.

Instead, {{Kafka.TLS}} should be _identical_ to {{General.TLS}}.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02gh9:,,,,,,,,kchristidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tree cloning skips data field,FAB-9715,29706,Bug,In Review,FAB,Fabric,software,ChristopherFerris,,,Medium,,yacovm,yacovm,yacovm,25/Apr/18 10:19 PM,25/Apr/18 10:39 PM,26/Apr/18 6:50 AM,,,,,,,,v1.2,,,fabric-common,,,,0,,,,,,,,,"When cloning a tree, the data field is not copied as well.

 

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02gh1:,,,,,,,,yacovm,,,,,,,,,,,,,,25/Apr/18 10:39 PM;yacovm;https://gerrit.hyperledger.org/r/#/c/21029/,,,,,,,,,,,,,,,,,,,,,,,
Config parsing logic for Kafka TLS should just read the files,FAB-9713,29703,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,Medium,,,kchristidis,kchristidis,25/Apr/18 9:16 PM,25/Apr/18 10:22 PM,26/Apr/18 6:50 AM,,v1.1,,,,,,v1.2,,,fabric-orderer,,,,0,kafka,,,,,,,,"What happens today: If you set the {{Kafka.TLS}} part of the configuration in {{orderer.yaml}} by using the {{File:}} keys (i.e. by pointing to where the certs are stored), then for each of those values, the config parsing mechanism:
 # reads the file
 # decodes its contents into a {{pem.Block}}
 # encodes the PEM block as {{[]byte}} in memory
 # converts this encoding into a string

(See {{pemBlocksFromFileDecodeHook}} in {{viperutil/config_util.go}}.)

This series of steps is redundant.

What we need ultimately is a TLS certificate (type {{tls.Certificate}}) for the client's key pair, and X509 certificates (type {{x509.Certificate}}) for the certificates of the root CAs.

It should be sufficient then to just read the files in the config parsing logic (think {{ioutil.ReadFile()}}), then parse those byte slices accordingly in {{newBrokerConfig)) in \{\{kafka/config.go}}.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02ggl:,,,,,,,,kchristidis,,,,,,,,,,,,,,25/Apr/18 10:22 PM;kchristidis;My suggestion in FAB-9716 is to just remove these decode hooks altogether and have {{Kafka.TLS}} works _exactly_ like {{General.TLS}}.,,,,,,,,,,,,,,,,,,,,,,,
Chaincode container down if peer container goes down,FAB-9704,29690,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,Medium,,,aviralwal,aviralwal,25/Apr/18 5:54 PM,25/Apr/18 5:54 PM,26/Apr/18 6:50 AM,,,,,,,,,,,,,,,0,,,,,,,,," 

I had 6 peer containers running, 3 for each organisation. Out of 2 , 1 was admin and 2 were user containers. Now I had deployed a chaincode on it and the deployment was successful.

Now once the chaincode was successfully deployed, after some time, the peer through which the chaincode was deployed went down. This caused the chaincode to also go down. 

Since the chaincode was deployed using composer, I tried redeploying it but the peer was giving the error :- The chaincode already exists. The chaincode was present inside the peer in /var/hyperledger/production/chaincode

Also if I tried to bring up the chaincode container up manually, the peer did not allow it and gave error that chaincode cannot be invoked externally(it can be done in dev mode).

This behaviour is not good because If the peer somehow goes down, the chaincode wont be invoked automatically. This should happen automatically.

If any more information is required, Kindly inform me. ","Fabric v1.1 with kafka consensus mechanism.

Production environment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02gdp:,,,,,,,,aviralwal,AyushyaChitransh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
getAllLedgerIDs doesn't release the iterator ,FAB-9703,29689,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,Medium,,,yacovm,yacovm,25/Apr/18 4:59 PM,26/Apr/18 12:05 AM,26/Apr/18 6:50 AM,,,,,,,,,,,fabric-ledger,,,,0,,,,,,,,,"The function [getAllLedgerIDs|https://github.com/hyperledger/fabric/blob/13447bf5ead693f07285ce63a1903c5d0d25f096/core/ledger/kvledger/kv_ledger_provider.go#L291] doesn't release the iterator after acquiring it.

 Judging by the API comment: ""The iterator should be released after the use.""

it needs to be released.

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02gdh:,,,,,,,,manish-sethi,yacovm,,,,,,,,,master,,,true,25/Apr/18 7:28 PM;yacovm;[~denyeart] [~manish-sethi],25/Apr/18 7:41 PM;manish-sethi;https://gerrit.hyperledger.org/r/#/c/21015/,,,,,,,,,,,,,,,,,,,,,,
error starting orderer using sampleconfig,FAB-9702,29688,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,jyellick,muralisr,muralisr,25/Apr/18 4:45 PM,25/Apr/18 5:38 PM,26/Apr/18 6:50 AM,25/Apr/18 5:38 PM,,,,,,,,,,fabric-orderer,,,,0,,,,,,,,,"Starting orderer thus

ORDERER_GENERAL_GENESISPROFILE=SampleSingleMSPSolo orderer

 

causes the following error

 
{code:java}
2018-04-25 12:40:41.823 EDT [common/tools/configtxgen/localconfig] Load -> INFO 003 Loaded configuration: /Users/muralisr/hyperledger/src/github.com/hyperledger/fabric/sampleconfig/configtx.yaml
2018-04-25 12:40:41.825 EDT [fsblkstorage] newBlockfileMgr -> INFO 004 Getting block information from block storage
2018-04-25 12:40:41.834 EDT [orderer/commmon/multichannel] newLedgerResources -> CRIT 005 Error creating channelconfig bundle: initializing configtx manager failed: bad channel ID: channel ID 'test_system_channel_name' contains illegal characters
panic: Error creating channelconfig bundle: initializing configtx manager failed: bad channel ID: channel ID 'test_system_channel_name' contains illegal characters
goroutine 1 [running]:
github.com/hyperledger/fabric/vendor/github.com/op/go-logging.(*Logger).Panicf(0xc42026b9e0, 0x48c0e8b, 0x27, 0xc420abf980, 0x1, 0x1)
 /Users/muralisr/hyperledger/src/github.com/hyperledger/fabric/vendor/github.com/op/go-logging/logger.go:194 +0x126
github.com/hyperledger/fabric/orderer/common/multichannel.(*Registrar).newLedgerResources(0xc42028b2d0, 0xc420aa6090, 0xc420aa6090)
 /Users/muralisr/hyperledger/src/github.com/hyperledger/fabric/orderer/common/multichannel/registrar.go:253 +0x389
github.com/hyperledger/fabric/orderer/common/multichannel.NewRegistrar(0x4949840, 0xc42018a080, 0xc420909d10, 0x4941440, 0x4da3ef0, 0xc420170ad8, 0x1, 0x1, 0x0)
 /Users/muralisr/hyperledger/src/github.com/hyperledger/fabric/orderer/common/multichannel/registrar.go:144 +0x327
github.com/hyperledger/fabric/orderer/common/server.initializeMultichannelRegistrar(0xc4202a7400, 0x4941440, 0x4da3ef0, 0xc420170ad8, 0x1, 0x1, 0xc420363ed0)
 /Users/muralisr/hyperledger/src/github.com/hyperledger/fabric/orderer/common/server/main.go:259 +0x250
github.com/hyperledger/fabric/orderer/common/server.Start(0x48a4e84, 0x5, 0xc4202a7400)
 /Users/muralisr/hyperledger/src/github.com/hyperledger/fabric/orderer/common/server/main.go:100 +0x1d3
github.com/hyperledger/fabric/orderer/common/server.Main()
 /Users/muralisr/hyperledger/src/github.com/hyperledger/fabric/orderer/common/server/main.go:79 +0x204
main.main()
 /Users/muralisr/hyperledger/src/github.com/hyperledger/fabric/orderer/main.go:15 +0x20
{code}
 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02gd9:,,,,,,,,jyellick,muralisr,,,,,,,,,master,,,true,25/Apr/18 4:53 PM;jyellick;In review via: https://gerrit.hyperledger.org/r/c/21003/,,,,,,,,,,,,,,,,,,,,,,,
CI tests fail in fabric-chaincode-java-merge job due to shim error.(`Execution failed for task ( ':fabric-chaincode-shim:publishShimJarPublicationToHyperledger-snapshotsRepository'` ),FAB-9701,29671,Bug,To Do,FAB,Fabric,software,ChristopherFerris,,,Medium,,sanchezl,sambhavdutt,sambhavdutt,25/Apr/18 1:52 PM,25/Apr/18 1:52 PM,26/Apr/18 6:50 AM,,,,,,,,v1.2,,,fabric-chaincode-java,,,,0,ci_failure,,,,,,,,"The following errors were observed in the CI job for fabric-chaincode-java-merge, 

{code:java}
SNAPSHOT/fabric-chaincode-shim-1.2.0-20180425.131125-10.pom'
13:11:25 :fabric-chaincode-shim:publishShimJarPublicationToHyperledger-snapshotsRepository FAILED
13:11:25 
13:11:25 FAILURE: Build failed with an exception.
13:11:25 
13:11:25 * What went wrong:
13:11:25 Execution failed for task ':fabric-chaincode-shim:publishShimJarPublicationToHyperledger-snapshotsRepository'.
13:11:25 > Failed to publish publication 'shimJar' to repository 'hyperledger-snapshots'
13:11:25    > Could not write to resource 'https://nexus.hyperledger.org/content/repositories/snapshots/org/hyperledger/fabric/fabric-chaincode-shim/1.2.0-SNAPSHOT/fabric-chaincode-shim-1.2.0-20180425.131125-10.jar'.
13:11:25       > Could not PUT 'https://nexus.hyperledger.org/content/repositories/snapshots/org/hyperledger/fabric/fabric-chaincode-shim/1.2.0-SNAPSHOT/fabric-chaincode-shim-1.2.0-20180425.131125-10.jar'. Received status code 401 from server: Unauthorized
13:11:25 
13:11:25 * Try:
13:11:25 Run with --stacktrace option to get the stack trace. Run with --info or --debug option to get more log output. Run with --scan to get full insights.
13:11:25 
13:11:25 * Get more help at https://help.gradle.org
13:11:25 
13:11:25 BUILD FAILED in 3s
13:11:25 10 actionable tasks: 2 executed, 8 up-to-date
13:11:25 Build step 'Execute shell' marked build as failure
{code}


*Build Log*
https://logs.hyperledger.org/production/vex-yul-hyp-jenkins-3/fabric-chaincode-java-merge-x86_64/35/_build-enviroment-variables.log.gz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02g9x:,,,,,,,,sambhavdutt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fix toc rendering bug,FAB-9698,29664,Bug,In Progress,FAB,Fabric,software,ChristopherFerris,,,Medium,,,ChristopherFerris,ChristopherFerris,25/Apr/18 10:35 AM,25/Apr/18 10:35 AM,26/Apr/18 6:50 AM,,v1.1,,,,,,,,,fabric-docs,,,,0,,,,,,,,,commands ref should start with # not ##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02g8l:,,,,,,,,ChristopherFerris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CouchDB runner test fails,FAB-9693,29657,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,sykesm,kchristidis,kchristidis,24/Apr/18 7:48 PM,25/Apr/18 8:53 PM,26/Apr/18 6:50 AM,25/Apr/18 8:53 PM,,,,,,,v1.2,,,,,,,0,flakes,,,,,,,,"
{code:java}
CouchDB Runner
 unit-tests_1 | /opt/gopath/src/github.com/hyperledger/fabric/integration/runner/couchdb_test.go:26
 unit-tests_1 | starts and stops a docker container with the specified image [It]
 unit-tests_1 | /opt/gopath/src/github.com/hyperledger/fabric/integration/runner/couchdb_test.go:158
 unit-tests_1 | 
 unit-tests_1 | Expected an error, got nil
 unit-tests_1 | 
 unit-tests_1 | /opt/gopath/src/github.com/hyperledger/fabric/integration/runner/couchdb_test.go:199
 unit-tests_1 | ------------------------------
 unit-tests_1 | ••••••••••••••••
 unit-tests_1 | 
 unit-tests_1 | Summarizing 1 Failure:
 unit-tests_1 | 
 unit-tests_1 | [Fail] CouchDB Runner [It] starts and stops a docker container with the specified image 
 unit-tests_1 | /opt/gopath/src/github.com/hyperledger/fabric/integration/runner/couchdb_test.go:199
 unit-tests_1 | 
 unit-tests_1 | Ran 17 of 17 Specs in 7.014 seconds
 unit-tests_1 | FAIL! – 16 Passed | 1 Failed | 0 Pending | 0 Skipped — FAIL: TestRunner (7.01s)
 unit-tests_1 | FAIL
{code}


 Cannot produce locally, so it's probably intermittent.

Associated with this part of the test:


{code:java}
By(""terminating the container"")
 process.Signal(syscall.SIGTERM)
 Eventually(process.Wait()).Should(Receive(BeNil()))
 process = nil

_, err = client.InspectContainer(""container-name"")
 Expect(err).To(MatchError(""No such container: container-name""))
{code}


CI logs: [https://jenkins.hyperledger.org/job/fabric-verify-unit-tests-x86_64/1197/consoleText]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02g71:,,,,,,,,kchristidis,sykesm,,,,,,,,,master,,,true,25/Apr/18 1:06 PM;sykesm;https://gerrit.hyperledger.org/r/20997,,,,,,,,,,,,,,,,,,,,,,,
[Build] - Installing golint not working while building images for v1.1.0 ,FAB-9690,29652,Bug,Done,FAB,Fabric,software,ChristopherFerris,,,Medium,Done,mrshah-ibm,mrshah-ibm,mrshah-ibm,24/Apr/18 5:26 PM,24/Apr/18 5:45 PM,26/Apr/18 6:50 AM,24/Apr/18 5:45 PM,v1.1.0-rc1,,,,,,v1.1.1,,,fabric-build,,,,0,,,,,,,,,"[Build] - Installing golint not working while building images
{code:java}
$ go get -u golang.org/x/lint/golint package golang.org/x/lint/golint: unrecognized import path ""golang.org/x/lint/golint"" (parse https://golang.org/x/lint/golint?go-get=1: no go-import meta tags ())
{code}
The issue is open in golint repo

[https://github.com/golang/lint/issues/397]

 

This affects v1.1.0 (GA) build.

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i02g5x:,,,,,,,,mrshah-ibm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
