Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Due Date
Bug,FAB-9697,29662,gossip/discovery and x509: cannot validate certificate for 127.0.0.1 because it doesn't contain any IP SANs,,arman19940326,Highest,To Do,,25/Apr/18 7:24 AM,25/Apr/18 2:11 PM,
Bug,FAB-9422,29275,update CI scripts for fabric-sdk-node,zhaochy,zhaochy,Highest,Done,Done,09/Apr/18 8:54 AM,09/Apr/18 9:04 AM,
Bug,FAB-9420,29272,Init() function is exposed to clients for chaintool based chaincode,greg.haskins,greg.haskins,Highest,Done,Done,09/Apr/18 2:12 AM,22/Apr/18 1:50 PM,
Bug,FAB-9378,29193,node chaincode has grpc message limit of 4Mb,,davidkel,Highest,Done,Done,05/Apr/18 3:33 PM,13/Apr/18 1:51 AM,
Bug,FAB-9248,29021,"Inconsistent ""TestCredentialSupport"" unit-test failure",mastersingh24,rameshthoomu,Highest,Done,Done,30/Mar/18 1:27 PM,31/Mar/18 8:16 PM,
Bug,FAB-9236,28994,github.com/hyperledger/fabric/core/comm flakey test,,ChristopherFerris,Highest,Done,Done,29/Mar/18 3:11 PM,25/Apr/18 11:05 AM,
Bug,FAB-9212,28963,Failed to download gradle build is leading to Inconsistent unit-test failures,,rameshthoomu,Highest,Done,Done,28/Mar/18 8:40 PM,07/Apr/18 10:46 AM,
Bug,FAB-9039,28752,channel.getOrganizations returns incorrect members,,varadatibm,Highest,To Do,,21/Mar/18 10:27 PM,07/Apr/18 1:37 PM,
Bug,FAB-8969,28662,SSL errors occur when trying to communicate with multiple peers concurrently - mutual TLS path,harrisob@us.ibm.com,varadatibm,Highest,Done,Done,19/Mar/18 8:16 PM,26/Mar/18 7:33 PM,
Bug,FAB-8645,28203,Remove //import comments from go files,mastersingh24,mastersingh24,Highest,Done,Done,03/Mar/18 1:19 PM,03/Mar/18 2:44 PM,
Bug,FAB-8630,28178,[fabric-samples] byfn tests are failing intermittently in CI when couchdb is used,skarim,rameshthoomu,Highest,Done,Done,01/Mar/18 10:12 PM,13/Apr/18 12:06 PM,
Bug,FAB-8606,28146,Parse non-PKCS8 encoded TLS private keys,mastersingh24,mastersingh24,Highest,Done,Done,01/Mar/18 12:50 PM,02/Mar/18 6:17 PM,
Bug,FAB-8604,28144,Multiple orgs always failed!,,zerppen,Highest,Done,Done,01/Mar/18 11:34 AM,02/Mar/18 8:31 AM,
Bug,FAB-8406,27875,fabric-sdk-node does not support peer as identity role,harrisob@us.ibm.com,dongming,Highest,Done,Done,20/Feb/18 8:23 PM,21/Feb/18 9:54 PM,
Bug,FAB-8393,27857,"""TestMSPWithIntermediateCAs"" unit-tests are failing as the ""certs"" in fabric/msp/intermediate are expired yesterday",,rameshthoomu,Highest,Done,Done,20/Feb/18 1:15 PM,20/Feb/18 2:24 PM,
Bug,FAB-8103,27497,Peer Incorrectly sets has_more to true if result set is exactly a multiple of 100,sanchezl,davidkel,Highest,Done,Done,07/Feb/18 5:04 PM,22/Feb/18 2:20 AM,
Bug,FAB-7713,26777,Missing signing on DeliverResponse ,,rickr,Highest,Done,Done,12/Jan/18 4:52 PM,12/Jan/18 6:21 PM,
Bug,FAB-7698,26751,Peer eventing service needs added to filtered blocks the type of block.,C0rWin,rickr,Highest,Done,Done,11/Jan/18 3:58 PM,12/Jan/18 12:20 PM,
Bug,FAB-7588,26340,Eventing services completes for transaction but query still shows old value.,wlahti,rickr,Highest,Done,Done,03/Jan/18 4:43 PM,09/Jan/18 7:35 PM,
Bug,FAB-7489,26123,TLS test certificates are expired,mastersingh24,mastersingh24,Highest,Done,Done,17/Dec/17 2:03 PM,19/Dec/17 2:17 PM,
Bug,FAB-7295,24753,Fix download / bootstrap script,mastersingh24,mastersingh24,Highest,Done,Done,04/Dec/17 7:15 PM,09/Dec/17 9:50 AM,
Bug,FAB-7100,24464,Keepalive options not being set for chaincode shim,mastersingh24,mastersingh24,Highest,Done,Done,24/Nov/17 11:09 AM,27/Nov/17 1:55 AM,
Bug,FAB-6972,23924,test certificates are expired,mastersingh24,mastersingh24,Highest,Done,Done,13/Nov/17 4:15 AM,13/Nov/17 2:04 PM,
Bug,FAB-6969,23921,sampleconfig certificates are expired,mastersingh24,mastersingh24,Highest,Done,Done,12/Nov/17 1:15 PM,04/Dec/17 11:05 AM,
Bug,FAB-6924,23856,Merge Job fails due to unexpected node version and the following jobs after this fail to execute.,rameshthoomu,sambhavdutt,Highest,Done,Done,08/Nov/17 3:21 PM,14/Nov/17 2:16 PM,
Bug,FAB-6908,23836,All the daily tests are getting stuck due to some backend funtional error.,AdnanChoudhury,sambhavdutt,Highest,Done,Done,07/Nov/17 4:18 PM,08/Nov/17 4:47 PM,
Bug,FAB-6783,22880,Node sdk packages node chaincode from the request.chaincodePath field,,davidkel,Highest,Done,Done,27/Oct/17 9:35 AM,30/Oct/17 10:37 AM,
Bug,FAB-6738,22807,GetState using CouchDB is frequently failing to return any data.,chris.elder,davidkel,Highest,Done,Done,24/Oct/17 9:40 AM,27/Oct/17 10:28 PM,
Bug,FAB-6728,22752,System Behave Framework: Failure when saving container log files for cli container,latitiah,latitiah,Highest,Done,Done,23/Oct/17 4:07 PM,24/Oct/17 1:47 PM,
Bug,FAB-6707,22722,getCertificateAuthority() on client doesn't setup cryptosuite on returned object,harrisob@us.ibm.com,davidkel,Highest,Done,Done,20/Oct/17 2:38 PM,28/Oct/17 5:17 PM,
Bug,FAB-6689,22700,Node Chaincode Tests failing,harrisob@us.ibm.com,latitiah,Highest,Done,Done,19/Oct/17 5:38 PM,24/Oct/17 8:31 PM,
Bug,FAB-6679,22491,Timeouts not supported in Node SDK Common Connection Profile,harrisob@us.ibm.com,davidkel,Highest,Done,Done,18/Oct/17 8:38 PM,27/Oct/17 1:47 PM,
Bug,FAB-6621,22033,Endorsement policy document is misleading,ChristopherFerris,ChristopherFerris,Highest,Done,Done,14/Oct/17 6:55 PM,20/Oct/17 7:46 PM,
