"","CSmell","SVul","RELY","DATA","CPLX","RUSE","DOCU","TIME","STOR","PVOL","ACAP","PCAP","PCON","APEX","PLEX","LTEX","TOOL","SITE","SCED","AA","PR","ETT","FCR","CD","ISS","ISRR","DRR","RISK1","RISK2","RISK3","RISK4","RISK5"
"1",1023.30875704516,23.7053000705452,1,1.14,1,0.95,1,1,1,0.87,0.85,0.88,0.81,1,1,1,1,1,1,1.12015486238154,0.993237431784256,1.04745297824709,-782.072777154023,821.783246125501,356.964455539872,1535.99072403192,1266.67523933561,1,0,0,0,0
"2",378.179683243739,3.1904306349066,1,1.14,1,0.95,1,1,1,0.87,0.85,0.88,0.81,1,1,1,1,1,1,1.04266816044553,0.921184584375234,0.942534666150042,-136.17135194726,294.472323825731,575.077395171896,1355.22173436599,-1044.42814264568,0,1,0,0,0
"3",668.721575683978,14.4274230977896,1.1,0.9,1.17,1.07,1.11,1,1,0.87,1,1,1.12,1,1,1,1,0.93,1,1.0019475810932,1.04318919330564,0.951213097777511,94.5107124855028,-218.396705455953,484.379217598626,1086.62310111004,-220.173904806679,1,0,0,0,0
"4",1016.09345413667,3.67179330384556,1,0.9,0.87,1.07,1,1,1,1,1,1,0.9,1.1,1.09,1.19,0.9,0.93,1.43,1.08794617699696,1.23090366950077,1.02700899585066,-859.655031799959,364.450692287439,376.789232923764,1336.54526894826,820.981663880244,0,1,0,0,0
"5",917.188172611129,19.0233727737001,1,1,1,1.15,0.91,1,1,0.87,0.85,0.88,0.81,1.1,1.09,1,0.78,0.8,1,0.919614926476952,0.968780506403427,0.914910175285378,436.818534597405,-724.458835953461,-618.532577168845,59.7545427660216,-121.092807799883,0,0,0,0,1
"6",1174.81583665009,20.460093357831,1,0.9,1,1,1,1,1,0.87,1,0.88,0.9,1,1,0.91,1,0.93,1,0.944076136515478,0.927784952673368,0.913730015786658,-740.48081395412,33.1161941491963,-628.319049730849,954.408365596867,469.953901361917,0,0,0,0,1
"7",505.899730398361,17.5623167795515,0.92,1,1,1,1,1,1,1,1,1,1,1.1,1,1.09,1.09,1,1,1.09623831206631,1.00693288505907,0.909913753713469,373.678618729085,419.439920619036,-466.544646479023,704.868353429618,396.811644372206,1,0,0,0,0
"8",953.269352619051,20.9337857128916,1.26,1.14,1.17,1.07,1,1,1,0.87,0.85,1,0.81,1.1,1.09,1,1.09,0.93,1,0.911909860199147,0.94026869930834,1.22734397058821,110.055991855397,535.448354799172,-240.551755224371,709.693686764945,-282.737277230401,0,0,0,1,0
"9",1361.87221370547,6.16385238714156,1,0.9,1,1,1,1,1,0.87,1,0.88,0.9,1.1,1,1.19,1,0.93,1,1.01853511534026,0.893124329203827,1.07188834135496,-1196.38515987868,669.086101651528,-249.918340097087,1518.55758237779,-1465.22676494929,0,0,1,0,0
"10",936.937635442231,8.04313215481917,1.1,1.14,1,0.95,1,1,1.05,0.87,0.85,1.15,1.12,0.88,1.09,1.09,1,0.86,1,1.21552219184552,0.906926605784235,0.866946018349242,-104.06526841919,601.450209651013,273.047925572105,168.19063918181,596.914990640323,1,0,0,0,0
