RELY,DATA,CPLX,RUSE,PVOL,ACAP,PCAP,RISK1,RISK2,RISK3,RISK4,RISK5
1,1.14,1,0.95,0.87,0.85,0.88,0,0,0,1,0
1,1.14,1,0.95,0.87,0.85,0.88,0,0,0,0,1
1.1,0.9,1.17,1.07,0.87,1,1,1,0,0,0,0
1,0.9,0.87,1.07,1,1,1,0,1,0,0,0
1,1,1,1.15,0.87,0.85,0.88,0,0,0,1,0
1,0.9,1,1,0.87,1,0.88,0,0,0,1,0
0.92,1,1,1,1,1,1,0,0,0,1,0
1.26,1.14,1.17,1.07,0.87,0.85,1,1,0,0,0,0
1,0.9,1,1,0.87,1,0.88,0,0,1,0,0
1.1,1.14,1,0.95,0.87,0.85,1.15,0,1,0,0,0
1.1,1,1,1.07,0.87,1,1,0,0,0,0,1
0.92,0.9,0.87,0.95,0.87,1,1,0,0,0,0,1
1,0.9,0.87,1,1,1,1.15,0,0,0,0,1
1,0.9,0.87,0.95,0.87,0.71,0.76,0,0,0,1,0
1,0.9,1,0.95,0.87,0.85,0.88,0,1,0,0,0
1,0.9,1,0.95,0.87,1,1,0,1,0,0,0
1,0.9,1,1,1,0.85,0.88,0,0,1,0,0
1,0.9,1,0.95,0.87,1,0.88,1,0,0,0,0
1.1,1.14,1,0.95,1,1,1.15,0,1,0,0,0
1,1.28,1,0.95,1.15,0.85,0.76,1,0,0,0,0
1,1.14,1,0.95,1.15,0.85,0.88,0,0,1,0,0
1,1.14,1,1.15,0.87,0.85,0.88,0,0,0,1,0
1,1.14,1.17,1,1,0.85,1,0,0,0,1,0
1.1,1.14,1,1,1,0.85,1,0,1,0,0,0
0.92,0.9,1,0.95,1,1,1,0,0,0,1,0
1,1.14,1,0.95,0.87,0.85,0.88,0,0,0,0,1
1,1.14,1,0.95,0.87,0.85,0.88,0,1,0,0,0
1.1,0.9,1.17,1.07,0.87,1,1,1,0,0,0,0
1,0.9,0.87,1.07,1,1,1,0,1,0,0,0
1,1,1,1.15,0.87,0.85,0.88,0,0,1,0,0
1,0.9,1,1,0.87,1,0.88,0,0,0,0,1
0.92,1,1,1,1,1,1,0,1,0,0,0
1.26,1.14,1.17,1.07,0.87,0.85,1,0,0,0,1,0
1,0.9,1,1,0.87,1,0.88,0,1,0,0,0
1.1,1.14,1,0.95,0.87,0.85,1.15,0,0,0,1,0
1.1,1,1,1.07,0.87,1,1,0,0,1,0,0
0.92,0.9,0.87,0.95,0.87,1,1,0,1,0,0,0
1,0.9,0.87,1,1,1,1.15,0,0,0,0,1
1,0.9,0.87,0.95,0.87,0.71,0.76,0,1,0,0,0
1,0.9,1,0.95,0.87,0.85,0.88,0,0,0,0,1
1,0.9,1,0.95,0.87,1,1,1,0,0,0,0
1,0.9,1,1,1,0.85,0.88,0,1,0,0,0
1,0.9,1,0.95,0.87,1,0.88,0,1,0,0,0
1.1,1.14,1,0.95,1,1,1.15,0,0,1,0,0
1,1.28,1,0.95,1.15,0.85,0.76,0,1,0,0,0
1,1.14,1,0.95,1.15,0.85,0.88,0,1,0,0,0
1,1.14,1,1.15,0.87,0.85,0.88,0,0,0,1,0
1,1.14,1.17,1,1,0.85,1,0,0,0,0,1
1.1,1.14,1,1,1,0.85,1,0,0,0,1,0
0.92,0.9,1,0.95,1,1,1,0,0,0,1,0
1,1.14,1,0.95,0.87,0.85,0.88,0,0,0,0,1
1,1.14,1,0.95,0.87,0.85,0.88,0,1,0,0,0
1.1,0.9,1.17,1.07,0.87,1,1,1,0,0,0,0
1,0.9,0.87,1.07,1,1,1,0,1,0,0,0
1,1,1,1.15,0.87,0.85,0.88,1,0,0,0,0
1,0.9,1,1,0.87,1,0.88,0,0,0,0,1
0.92,1,1,1,1,1,1,0,0,1,0,0
1.26,1.14,1.17,1.07,0.87,0.85,1,1,0,0,0,0
1,0.9,1,1,0.87,1,0.88,1,0,0,0,0
1.1,1.14,1,0.95,0.87,0.85,1.15,1,0,0,0,0
1.1,1,1,1.07,0.87,1,1,0,0,0,1,0
0.92,0.9,0.87,0.95,0.87,1,1,0,0,0,0,1
1,0.9,0.87,1,1,1,1.15,1,0,0,0,0
1,0.9,0.87,0.95,0.87,0.71,0.76,0,0,1,0,0
1,0.9,1,0.95,0.87,0.85,0.88,0,1,0,0,0
1,0.9,1,0.95,0.87,1,1,0,0,1,0,0
1,0.9,1,1,1,0.85,0.88,1,0,0,0,0
1,0.9,1,0.95,0.87,1,0.88,0,0,1,0,0
1.1,1.14,1,0.95,1,1,1.15,0,0,0,0,1
1,1.28,1,0.95,1.15,0.85,0.76,0,0,0,0,1
1,1.14,1,0.95,1.15,0.85,0.88,1,0,0,0,0
1,1.14,1,1.15,0.87,0.85,0.88,0,0,0,0,1
1,1.14,1.17,1,1,0.85,1,1,0,0,0,0
1.1,1.14,1,1,1,0.85,1,0,0,0,0,1
0.92,0.9,1,0.95,1,1,1,0,1,0,0,0
1,1.14,1,0.95,0.87,0.85,0.88,1,0,0,0,0
1,1.14,1,0.95,0.87,0.85,0.88,0,0,0,0,1
1.1,0.9,1.17,1.07,0.87,1,1,0,1,0,0,0
1,0.9,0.87,1.07,1,1,1,0,0,0,0,1
1,1,1,1.15,0.87,0.85,0.88,0,0,1,0,0
1,0.9,1,1,0.87,1,0.88,1,0,0,0,0
0.92,1,1,1,1,1,1,0,1,0,0,0
1.26,1.14,1.17,1.07,0.87,0.85,1,0,0,1,0,0
1,0.9,1,1,0.87,1,0.88,0,0,0,0,1
1.1,1.14,1,0.95,0.87,0.85,1.15,0,0,1,0,0
1.1,1,1,1.07,0.87,1,1,0,0,1,0,0
0.92,0.9,0.87,0.95,0.87,1,1,0,1,0,0,0
1,0.9,0.87,1,1,1,1.15,0,0,1,0,0
1,0.9,0.87,0.95,0.87,0.71,0.76,1,0,0,0,0
1,0.9,1,0.95,0.87,0.85,0.88,0,0,0,1,0
1,0.9,1,0.95,0.87,1,1,0,1,0,0,0
1,0.9,1,1,1,0.85,0.88,0,0,1,0,0
1,0.9,1,0.95,0.87,1,0.88,0,1,0,0,0
1.1,1.14,1,0.95,1,1,1.15,0,1,0,0,0
1,1.28,1,0.95,1.15,0.85,0.76,0,0,0,1,0
1,1.14,1,0.95,1.15,0.85,0.88,0,0,0,1,0
1,1.14,1,1.15,0.87,0.85,0.88,0,1,0,0,0
1,1.14,1.17,1,1,0.85,1,1,0,0,0,0
1.1,1.14,1,1,1,0.85,1,0,1,0,0,0
0.92,0.9,1,0.95,1,1,1,0,0,0,1,0
1,1.14,1,0.95,0.87,0.85,0.88,0,0,1,0,0
1,1.14,1,0.95,0.87,0.85,0.88,0,0,1,0,0
1.1,0.9,1.17,1.07,0.87,1,1,0,0,0,1,0
1,0.9,0.87,1.07,1,1,1,0,0,0,1,0
1,1,1,1.15,0.87,0.85,0.88,0,1,0,0,0
1,0.9,1,1,0.87,1,0.88,0,0,0,1,0
0.92,1,1,1,1,1,1,0,0,0,1,0
1.26,1.14,1.17,1.07,0.87,0.85,1,0,0,1,0,0
1,0.9,1,1,0.87,1,0.88,0,0,0,0,1
1.1,1.14,1,0.95,0.87,0.85,1.15,0,1,0,0,0
1.1,1,1,1.07,0.87,1,1,1,0,0,0,0
0.92,0.9,0.87,0.95,0.87,1,1,1,0,0,0,0
1,0.9,0.87,1,1,1,1.15,1,0,0,0,0
1,0.9,0.87,0.95,0.87,0.71,0.76,0,0,0,0,1
1,0.9,1,0.95,0.87,0.85,0.88,0,0,1,0,0
1,0.9,1,0.95,0.87,1,1,0,1,0,0,0
1,0.9,1,1,1,0.85,0.88,0,0,0,1,0
1,0.9,1,0.95,0.87,1,0.88,1,0,0,0,0
1.1,1.14,1,0.95,1,1,1.15,0,1,0,0,0
1,1.28,1,0.95,1.15,0.85,0.76,0,0,0,1,0
1,1.14,1,0.95,1.15,0.85,0.88,1,0,0,0,0
1,1.14,1,1.15,0.87,0.85,0.88,0,0,0,1,0
1,1.14,1.17,1,1,0.85,1,0,0,0,0,1
1.1,1.14,1,1,1,0.85,1,0,1,0,0,0
0.92,0.9,1,0.95,1,1,1,0,0,0,1,0
1,1.14,1,0.95,0.87,0.85,0.88,1,0,0,0,0
1,1.14,1,0.95,0.87,0.85,0.88,0,1,0,0,0
1.1,0.9,1.17,1.07,0.87,1,1,0,0,0,1,0
1,0.9,0.87,1.07,1,1,1,0,0,0,0,1
1,1,1,1.15,0.87,0.85,0.88,1,0,0,0,0
1,0.9,1,1,0.87,1,0.88,1,0,0,0,0
0.92,1,1,1,1,1,1,0,0,0,1,0
1.26,1.14,1.17,1.07,0.87,0.85,1,0,0,1,0,0
1,0.9,1,1,0.87,1,0.88,1,0,0,0,0
1.1,1.14,1,0.95,0.87,0.85,1.15,0,0,0,1,0
1.1,1,1,1.07,0.87,1,1,0,0,0,1,0
0.92,0.9,0.87,0.95,0.87,1,1,0,0,1,0,0
1,0.9,0.87,1,1,1,1.15,0,0,1,0,0
1,0.9,0.87,0.95,0.87,0.71,0.76,0,1,0,0,0
1,0.9,1,0.95,0.87,0.85,0.88,0,0,0,1,0
1,0.9,1,0.95,0.87,1,1,0,0,0,1,0
1,0.9,1,1,1,0.85,0.88,0,0,0,0,1
1,0.9,1,0.95,0.87,1,0.88,0,0,1,0,0
1.1,1.14,1,0.95,1,1,1.15,1,0,0,0,0
1,1.28,1,0.95,1.15,0.85,0.76,0,0,1,0,0
1,1.14,1,0.95,1.15,0.85,0.88,0,0,1,0,0
1,1.14,1,1.15,0.87,0.85,0.88,1,0,0,0,0
1,1.14,1.17,1,1,0.85,1,0,0,1,0,0
1.1,1.14,1,1,1,0.85,1,0,1,0,0,0
0.92,0.9,1,0.95,1,1,1,0,1,0,0,0
1,1.14,1,0.95,0.87,0.85,0.88,0,1,0,0,0
