RELY,DATA,CPLX,RUSE,PVOL,ACAP,APEX,RISK1,RISK2,RISK3,RISK4,RISK5
1.26,1.19,1.14,1.15,1.3,1.22,1.1,0,0,0,0,1
1.45,1.19,1.14,1.15,1.3,1.5,1.1,0,0,0,0,1
1.45,1.19,1.29,1.15,1.3,1.22,1.12,0,0,0,0,1
1.45,1.19,1.14,1.15,1.3,1.22,1.1,0,0,0,0,1
1.45,1.19,1.29,1.15,1.3,1.5,1.1,0,0,0,0,1
1.45,1.19,1.14,1.15,1.3,1.22,1.12,0,0,0,0,1
1.26,1.19,1.29,1.15,1.3,1.22,1.1,0,0,0,0,1
1.26,1.19,1.14,1.15,1.3,1.22,1.12,0,0,0,0,1
1.45,1.19,1.29,1.15,1.3,1.5,1.1,0,0,0,0,1
1.26,1.19,1.29,1.15,1.3,1.22,1.1,0,0,0,0,1
1.45,1.19,1.14,1.15,1.3,1.5,1.12,0,0,0,0,1
1.45,1.19,1.29,1.15,1.3,1.5,1.1,0,0,0,0,1
1.26,1.19,1.14,1.15,1.3,1.5,1.1,0,0,0,0,1
1.45,1.19,1.14,1.15,1.3,1.22,1.1,0,0,0,0,1
1.26,1.19,1.14,1.15,1.3,1.22,1.12,0,0,0,0,1
1.26,1.19,1.29,1.15,1.3,1.22,1.12,0,0,0,0,1
1.26,1.19,1.14,1.15,1.3,1.5,1.1,0,0,0,0,1
1.26,1.19,1.29,1.15,1.3,1.22,1.1,0,0,0,0,1
1.26,1.19,1.14,1.15,1.3,1.22,1.1,0,0,0,0,1
1.26,1.19,1.14,1.15,1.3,1,1.1,0,0,0,1,0
1.26,1.19,1.14,1.07,1.15,1.22,1,0,0,0,1,0
1.1,1.19,1.14,1.07,1.3,1.22,1.1,0,0,0,1,0
1.1,1.19,1.14,1.07,1.15,1,1,0,0,0,1,0
1.26,1.09,1.07,1.15,1.15,1,1.1,0,0,0,1,0
1.1,1.19,1.07,1.07,1.3,1.22,1.1,0,0,0,1,0
1.1,1.19,1.07,1.15,1.15,1.22,1.1,0,0,0,1,0
1.26,1.19,1.07,1.15,1.3,1.22,1.1,0,0,0,1,0
1.1,1.19,1.07,1.15,1.3,1,1.1,0,0,0,1,0
1.26,1.19,1.14,1.15,1.3,1.22,1,0,0,0,1,0
1.26,1.19,1.14,1.07,1.3,1.22,1.1,0,0,0,1,0
1.1,1.09,1.14,1.07,1.15,1,1.1,0,0,0,1,0
1.26,1.09,1.07,1.07,1.15,1,1.1,0,0,0,1,0
1.1,1.09,1.07,1.07,1.15,1,1.1,0,0,0,1,0
1.26,1.09,1.07,1.07,1.15,1.22,1.1,0,0,0,1,0
